additive_.C3_NMR_shift additive_.C3_electrostatic_charge additive_.C4_NMR_shift additive_.C4_electrostatic_charge additive_.C5_NMR_shift additive_.C5_electrostatic_charge additive_.N1_electrostatic_charge additive_.O1_electrostatic_charge additive_E_HOMO additive_E_LUMO additive_V1_frequency additive_V1_intensity additive_dipole_moment additive_electronegativity additive_hardness additive_molecular_volume additive_molecular_weight additive_ovality additive_surface_area aryl_halide_.C1_NMR_shift aryl_halide_.C1_electrostatic_charge aryl_halide_.C2_NMR_shift aryl_halide_.C2_electrostatic_charge aryl_halide_.C3_NMR_shift aryl_halide_.C3_electrostatic_charge aryl_halide_.C4_NMR_shift aryl_halide_.C4_electrostatic_charge aryl_halide_.H2_NMR_shift aryl_halide_.H2_electrostatic_charge aryl_halide_.H3_NMR_shift aryl_halide_.H3_electrostatic_charge aryl_halide_E_HOMO aryl_halide_E_LUMO aryl_halide_V1_frequency aryl_halide_V1_intensity aryl_halide_V2_frequency aryl_halide_V2_intensity aryl_halide_V3_frequency aryl_halide_V3_intensity aryl_halide_dipole_moment aryl_halide_electronegativity aryl_halide_hardness aryl_halide_molecular_volume aryl_halide_molecular_weight aryl_halide_ovality aryl_halide_surface_area base_.N1_electrostatic_charge base_E_HOMO base_E_LUMO base_dipole_moment base_electronegativity base_hardness base_molecular_volume base_molecular_weight base_ovality base_surface_area ligand_.C10_NMR_shift ligand_.C10_electrostatic_charge ligand_.C11_NMR_shift ligand_.C11_electrostatic_charge ligand_.C12_NMR_shift ligand_.C12_electrostatic_charge ligand_.C13_NMR_shift ligand_.C13_electrostatic_charge ligand_.C14_NMR_shift ligand_.C14_electrostatic_charge ligand_.C15_NMR_shift ligand_.C15_electrostatic_charge ligand_.C16_NMR_shift ligand_.C16_electrostatic_charge ligand_.C17_NMR_shift ligand_.C17_electrostatic_charge ligand_.C1_NMR_shift ligand_.C1_electrostatic_charge ligand_.C2_NMR_shift ligand_.C2_electrostatic_charge ligand_.C3_NMR_shift ligand_.C3_electrostatic_charge ligand_.C4_NMR_shift ligand_.C4_electrostatic_charge ligand_.C5_NMR_shift ligand_.C5_electrostatic_charge ligand_.C6_NMR_shift ligand_.C6_electrostatic_charge ligand_.C7_NMR_shift ligand_.C7_electrostatic_charge ligand_.C8_NMR_shift ligand_.C8_electrostatic_charge ligand_.C9_NMR_shift ligand_.C9_electrostatic_charge ligand_.H11_NMR_shift ligand_.H11_electrostatic_charge ligand_.H3_NMR_shift ligand_.H3_electrostatic_charge ligand_.H4_NMR_shift ligand_.H4_electrostatic_charge ligand_.H9_NMR_shift ligand_.H9_electrostatic_charge ligand_.P1_electrostatic_charge ligand_V10_frequency ligand_V10_intensity ligand_V1_frequency ligand_V1_intensity ligand_V2_frequency ligand_V2_intensity ligand_V3_frequency ligand_V3_intensity ligand_V4_frequency ligand_V4_intensity ligand_V5_frequency ligand_V5_intensity ligand_V6_frequency ligand_V6_intensity ligand_V7_frequency ligand_V7_intensity ligand_V8_frequency ligand_V8_intensity ligand_V9_frequency ligand_V9_intensity ligand_dipole_moment
  143.120000     0.223000    93.060000    -0.447000   162.340000     0.292000    -0.334000    -0.057000    -0.231700    -0.048700   906.164000     3.681000     3.210447     0.140000     0.090000   154.410000   145.161000     1.228000   170.870000   138.830000    -0.093000   125.650000     0.015000   120.950000    -0.223000   125.530000     0.130000     7.300000     0.100000     7.370000     0.156000    -0.261600    -0.041300   729.711000     3.216000  1349.391000     2.487000  1632.664000     3.838000     0.754193     0.150000     0.110000   149.530000   225.012000     1.256000   171.080000    -0.755000    -0.170300     0.056900     5.039158     0.060000     0.110000   376.470000   339.409000     1.685000   424.900000   139.580000     0.124000   114.030000    -0.248000   140.090000    -0.081000    33.080000     0.584000    38.440000     0.461000    33.240000     0.682000    40.720000     0.542000    35.450000     0.606000   135.090000     0.143000   125.130000    -0.247000   119.330000    -0.140000   121.040000    -0.120000   125.280000    -0.271000   143.110000     0.256000   133.490000    -0.050000   140.400000     0.025000   118.030000    -0.359000     7.150000     0.137000     7.220000     0.131000     7.190000     0.132000     6.930000     0.131000    -0.676000  3072.225000    66.180000   900.827000    11.173000   992.220000     0.009000  1349.505000     0.251000  1356.691000     6.992000  1360.565000     0.955000  1640.307000     4.414000  3026.561000    16.577000  3043.097000    18.145000  3064.344000    38.210000     1.212924
  143.120000     0.223000    93.060000    -0.447000   162.340000     0.292000    -0.334000    -0.057000    -0.231700    -0.048700   906.164000     3.681000     3.210447     0.140000     0.090000   154.410000   145.161000     1.228000   170.870000  -339.200000    -0.139000   123.940000     0.009000   422.730000    -0.248000  2119.190000     0.200000   409.740000     0.084000   428.000000     0.143000    -0.230900    -0.028600   722.886000     2.419000  1283.563000     0.002000  1621.037000     0.046000     2.177715     0.130000     0.100000   161.180000   232.060000     1.274000   182.460000    -0.755000    -0.170300     0.056900     5.039158     0.060000     0.110000   376.470000   339.409000     1.685000   424.900000   139.580000     0.124000   114.030000    -0.248000   140.090000    -0.081000    33.080000     0.584000    38.440000     0.461000    33.240000     0.682000    40.720000     0.542000    35.450000     0.606000   135.090000     0.143000   125.130000    -0.247000   119.330000    -0.140000   121.040000    -0.120000   125.280000    -0.271000   143.110000     0.256000   133.490000    -0.050000   140.400000     0.025000   118.030000    -0.359000     7.150000     0.137000     7.220000     0.131000     7.190000     0.132000     6.930000     0.131000    -0.676000  3072.225000    66.180000   900.827000    11.173000   992.220000     0.009000  1349.505000     0.251000  1356.691000     6.992000  1360.565000     0.955000  1640.307000     4.414000  3026.561000    16.577000  3043.097000    18.145000  3064.344000    38.210000     1.212924
  143.120000     0.223000    93.060000    -0.447000   162.340000     0.292000    -0.334000    -0.057000    -0.231700    -0.048700   906.164000     3.681000     3.210447     0.140000     0.090000   154.410000   145.161000     1.228000   170.870000 -1201.760000     0.194000   178.220000    -0.304000   256.460000     0.217000   686.890000    -0.442000   288.480000     0.137000   189.190000     0.074000    -0.246500    -0.038300   740.683000     0.519000  1305.598000     8.438000  1620.967000    57.989000     3.355629     0.140000     0.100000   118.100000   204.994000     1.178000   137.170000    -0.755000    -0.170300     0.056900     5.039158     0.060000     0.110000   376.470000   339.409000     1.685000   424.900000   139.580000     0.124000   114.030000    -0.248000   140.090000    -0.081000    33.080000     0.584000    38.440000     0.461000    33.240000     0.682000    40.720000     0.542000    35.450000     0.606000   135.090000     0.143000   125.130000    -0.247000   119.330000    -0.140000   121.040000    -0.120000   125.280000    -0.271000   143.110000     0.256000   133.490000    -0.050000   140.400000     0.025000   118.030000    -0.359000     7.150000     0.137000     7.220000     0.131000     7.190000     0.132000     6.930000     0.131000    -0.676000  3072.225000    66.180000   900.827000    11.173000   992.220000     0.009000  1349.505000     0.251000  1356.691000     6.992000  1360.565000     0.955000  1640.307000     4.414000  3026.561000    16.577000  3043.097000    18.145000  3064.344000    38.210000     1.212924
  143.120000     0.223000    93.060000    -0.447000   162.340000     0.292000    -0.334000    -0.057000    -0.231700    -0.048700   906.164000     3.681000     3.210447     0.140000     0.090000   154.410000   145.161000     1.228000   170.870000   133.690000    -0.304000   131.130000     0.240000   117.610000    -0.443000   141.060000     0.386000     7.390000     0.065000     6.930000     0.172000    -0.258500    -0.039000   715.688000    19.593000  1295.516000     0.089000  1623.855000    10.105000     2.086875     0.150000     0.110000   111.130000   158.003000     1.164000   130.130000    -0.755000    -0.170300     0.056900     5.039158     0.060000     0.110000   376.470000   339.409000     1.685000   424.900000   139.580000     0.124000   114.030000    -0.248000   140.090000    -0.081000    33.080000     0.584000    38.440000     0.461000    33.240000     0.682000    40.720000     0.542000    35.450000     0.606000   135.090000     0.143000   125.130000    -0.247000   119.330000    -0.140000   121.040000    -0.120000   125.280000    -0.271000   143.110000     0.256000   133.490000    -0.050000   140.400000     0.025000   118.030000    -0.359000     7.150000     0.137000     7.220000     0.131000     7.190000     0.132000     6.930000     0.131000    -0.676000  3072.225000    66.180000   900.827000    11.173000   992.220000     0.009000  1349.505000     0.251000  1356.691000     6.992000  1360.565000     0.955000  1640.307000     4.414000  3026.561000    16.577000  3043.097000    18.145000  3064.344000    38.210000     1.212924
  143.120000     0.223000    93.060000    -0.447000   162.340000     0.292000    -0.334000    -0.057000    -0.231700    -0.048700   906.164000     3.681000     3.210447     0.140000     0.090000   154.410000   145.161000     1.228000   170.870000  -625.550000    -0.377000    15.990000     0.195000    54.250000    -0.509000   739.360000     0.617000   353.410000     0.080000   296.620000     0.198000    -0.217600    -0.026900   699.275000     0.096000  1346.557000    77.439000  1624.512000    12.804000     2.775967     0.120000     0.100000   151.480000   234.032000     1.251000   171.950000    -0.784000    -0.214800     0.002900     1.126227     0.110000     0.110000   214.200000   171.288000     1.402000   242.780000   139.580000     0.124000   114.030000    -0.248000   140.090000    -0.081000    33.080000     0.584000    38.440000     0.461000    33.240000     0.682000    40.720000     0.542000    35.450000     0.606000   135.090000     0.143000   125.130000    -0.247000   119.330000    -0.140000   121.040000    -0.120000   125.280000    -0.271000   143.110000     0.256000   133.490000    -0.050000   140.400000     0.025000   118.030000    -0.359000     7.150000     0.137000     7.220000     0.131000     7.190000     0.132000     6.930000     0.131000    -0.676000  3072.225000    66.180000   900.827000    11.173000   992.220000     0.009000  1349.505000     0.251000  1356.691000     6.992000  1360.565000     0.955000  1640.307000     4.414000  3026.561000    16.577000  3043.097000    18.145000  3064.344000    38.210000     1.212924
  143.120000     0.223000    93.060000    -0.447000   162.340000     0.292000    -0.334000    -0.057000    -0.231700    -0.048700   906.164000     3.681000     3.210447     0.140000     0.090000   154.410000   145.161000     1.228000   170.870000   132.850000    -0.025000   125.360000    -0.058000   122.910000    -0.211000   136.020000     0.167000     7.110000     0.104000     6.970000     0.140000    -0.236400    -0.011500   725.090000     2.580000  1284.067000     0.009000  1627.294000     0.213000     2.410215     0.120000     0.110000   154.310000   185.069000     1.263000   175.780000    -0.784000    -0.214800     0.002900     1.126227     0.110000     0.110000   214.200000   171.288000     1.402000   242.780000   139.580000     0.124000   114.030000    -0.248000   140.090000    -0.081000    33.080000     0.584000    38.440000     0.461000    33.240000     0.682000    40.720000     0.542000    35.450000     0.606000   135.090000     0.143000   125.130000    -0.247000   119.330000    -0.140000   121.040000    -0.120000   125.280000    -0.271000   143.110000     0.256000   133.490000    -0.050000   140.400000     0.025000   118.030000    -0.359000     7.150000     0.137000     7.220000     0.131000     7.190000     0.132000     6.930000     0.131000    -0.676000  3072.225000    66.180000   900.827000    11.173000   992.220000     0.009000  1349.505000     0.251000  1356.691000     6.992000  1360.565000     0.955000  1640.307000     4.414000  3026.561000    16.577000  3043.097000    18.145000  3064.344000    38.210000     1.212924
  143.120000     0.223000    93.060000    -0.447000   162.340000     0.292000    -0.334000    -0.057000    -0.231700    -0.048700   906.164000     3.681000     3.210447     0.140000     0.090000   154.410000   145.161000     1.228000   170.870000   154.470000     0.537000   118.480000    -0.436000   129.840000     0.194000   114.940000    -0.432000     6.930000     0.175000     7.310000     0.088000    -0.261400    -0.037500   745.004000     0.013000  1316.305000     2.086000  1628.390000    47.034000     3.519084     0.150000     0.110000   106.570000   113.547000     1.155000   125.530000    -0.784000    -0.214800     0.002900     1.126227     0.110000     0.110000   214.200000   171.288000     1.402000   242.780000   139.580000     0.124000   114.030000    -0.248000   140.090000    -0.081000    33.080000     0.584000    38.440000     0.461000    33.240000     0.682000    40.720000     0.542000    35.450000     0.606000   135.090000     0.143000   125.130000    -0.247000   119.330000    -0.140000   121.040000    -0.120000   125.280000    -0.271000   143.110000     0.256000   133.490000    -0.050000   140.400000     0.025000   118.030000    -0.359000     7.150000     0.137000     7.220000     0.131000     7.190000     0.132000     6.930000     0.131000    -0.676000  3072.225000    66.180000   900.827000    11.173000   992.220000     0.009000  1349.505000     0.251000  1356.691000     6.992000  1360.565000     0.955000  1640.307000     4.414000  3026.561000    16.577000  3043.097000    18.145000  3064.344000    38.210000     1.212924
  143.120000     0.223000    93.060000    -0.447000   162.340000     0.292000    -0.334000    -0.057000    -0.231700    -0.048700   906.164000     3.681000     3.210447     0.140000     0.090000   154.410000   145.161000     1.228000   170.870000   134.480000    -0.127000   127.980000     0.125000   117.100000    -0.407000   140.610000     0.365000     7.240000     0.102000     6.950000     0.170000    -0.261400    -0.038000   716.610000    20.188000  1298.019000     0.192000  1626.114000     8.514000     2.089781     0.150000     0.110000   106.610000   113.547000     1.154000   125.490000    -0.784000    -0.214800     0.002900     1.126227     0.110000     0.110000   214.200000   171.288000     1.402000   242.780000   139.580000     0.124000   114.030000    -0.248000   140.090000    -0.081000    33.080000     0.584000    38.440000     0.461000    33.240000     0.682000    40.720000     0.542000    35.450000     0.606000   135.090000     0.143000   125.130000    -0.247000   119.330000    -0.140000   121.040000    -0.120000   125.280000    -0.271000   143.110000     0.256000   133.490000    -0.050000   140.400000     0.025000   118.030000    -0.359000     7.150000     0.137000     7.220000     0.131000     7.190000     0.132000     6.930000     0.131000    -0.676000  3072.225000    66.180000   900.827000    11.173000   992.220000     0.009000  1349.505000     0.251000  1356.691000     6.992000  1360.565000     0.955000  1640.307000     4.414000  3026.561000    16.577000  3043.097000    18.145000  3064.344000    38.210000     1.212924
  143.120000     0.223000    93.060000    -0.447000   162.340000     0.292000    -0.334000    -0.057000    -0.231700    -0.048700   906.164000     3.681000     3.210447     0.140000     0.090000   154.410000   145.161000     1.228000   170.870000   127.680000     0.021000   123.140000    -0.045000   112.080000    -0.405000   149.130000     0.517000     6.960000     0.137000     6.620000     0.190000    -0.220200    -0.011800   703.578000     0.047000  1351.340000    54.421000  1632.373000    10.492000     2.894904     0.120000     0.100000   140.110000   142.585000     1.231000   160.650000    -0.611000    -0.191300     0.050500     2.703408     0.070000     0.120000   170.580000   153.229000     1.268000   188.570000   139.580000     0.124000   114.030000    -0.248000   140.090000    -0.081000    33.080000     0.584000    38.440000     0.461000    33.240000     0.682000    40.720000     0.542000    35.450000     0.606000   135.090000     0.143000   125.130000    -0.247000   119.330000    -0.140000   121.040000    -0.120000   125.280000    -0.271000   143.110000     0.256000   133.490000    -0.050000   140.400000     0.025000   118.030000    -0.359000     7.150000     0.137000     7.220000     0.131000     7.190000     0.132000     6.930000     0.131000    -0.676000  3072.225000    66.180000   900.827000    11.173000   992.220000     0.009000  1349.505000     0.251000  1356.691000     6.992000  1360.565000     0.955000  1640.307000     4.414000  3026.561000    16.577000  3043.097000    18.145000  3064.344000    38.210000     1.212924
  143.120000     0.223000    93.060000    -0.447000   162.340000     0.292000    -0.334000    -0.057000    -0.231700    -0.048700   906.164000     3.681000     3.210447     0.140000     0.090000   154.410000   145.161000     1.228000   170.870000  -625.550000    -0.377000    15.990000     0.195000    54.250000    -0.509000   739.360000     0.617000   353.410000     0.080000   296.620000     0.198000    -0.217600    -0.026900   699.275000     0.096000  1346.557000    77.439000  1624.512000    12.804000     2.775967     0.120000     0.100000   151.480000   234.032000     1.251000   171.950000    -0.611000    -0.191300     0.050500     2.703408     0.070000     0.120000   170.580000   153.229000     1.268000   188.570000   139.580000     0.124000   114.030000    -0.248000   140.090000    -0.081000    33.080000     0.584000    38.440000     0.461000    33.240000     0.682000    40.720000     0.542000    35.450000     0.606000   135.090000     0.143000   125.130000    -0.247000   119.330000    -0.140000   121.040000    -0.120000   125.280000    -0.271000   143.110000     0.256000   133.490000    -0.050000   140.400000     0.025000   118.030000    -0.359000     7.150000     0.137000     7.220000     0.131000     7.190000     0.132000     6.930000     0.131000    -0.676000  3072.225000    66.180000   900.827000    11.173000   992.220000     0.009000  1349.505000     0.251000  1356.691000     6.992000  1360.565000     0.955000  1640.307000     4.414000  3026.561000    16.577000  3043.097000    18.145000  3064.344000    38.210000     1.212924
